pathogen_term,disease_term,text,Relationship,pathogen_synonyms,disease_synonyms
helicobacter pylori,functional dyspepsia,"BACKGROUND/AIMS: Helicobacter pylori (Hp) may affect the normal balance between gastric epithelial cell proliferation and epithelial cell death, interfering thus with the maintenance of gastric mucosa integrity. The aim of this study was to investigate the effect of Hp infection on cell proliferation index (PI) and apoptotic index (AI) in gastric epithelium of the antrum and corpus. METHODOLOGY: Prospective study in forty-one patients with functional dyspepsia (14 males, 27 females, average age = 54+/-16.1 years). Day one: upper digestive endoscopy with biopsies of the antrum and corpus, and a cytological smear of the antral area for AgNOR (argyrophilic nucleolar organizer region) analysis. Biopsies for the programmed tests were sent in separate labeled containers: to study AI (antibody anti-M30), PI (antibody anti-Ki 67) and histology (Sydney criteria and the detection of Hp). Detection of the AgNORs through the Gimenez-Mas et al. technique, using Visilog-Microptic Software. Day two: a blood sample was drawn from each patient for the serologic detection of the status CagA and VacA, and a breath test was carried out with 13C-Urea. STATISTICS: SPSS program with the application of Student's t, chi-square and Fisher tests. RESULTS: 24 patients were Hp(+) and 17 Hp(-). The PI (Ki 67 and AgNORs) in the antral area was significantly increased in the Hp(+) patients. AI showed no significant difference in the subgroups Hp(+) and Hp(-). Both subgroups showed increased PI in the antrum and increased AI in the gastric corpus. There was significantly higher PI in CagA(+), without an increase in the AI. The AI was significantly higher in CagA(-), when compared with CagA(+). The VacA protein had no influence on PI and AI. Acute and chronic gastritis was more frequent and more severe in Hp(+) patients. This group lacked any correlation between the histological findings and the PI, but the opposite was the case between AI and the degree of cellular infiltration. CONCLUSIONS: In patients with functional dyspepsia, Hp infection induces an increase of PI, with significant presence in the antrum area, without the corresponding increase in AI. Cag A(+) promotes the increase of PI, and Cag A(-) promotes the increase of AI. The Vac A status has no influence on the PI or AI. The degree of cellular infiltration interferes with AI.",yes,Helicobacter pylori|Campylobacter pylori subsp. pylori|Campylobacter pyloridis|Campylobacter pylori|Helicobacter nemestrinae,Functional dyspepsia
helicobacter pylori,functional dyspepsia,"BACKGROUND: Upper abdominal pain is a common problem with an extraordinary diversity of possible causes. Many patients have no structural disease, and making the correct diagnosis can be a challenge. The roles of endoscopy, testing for Helicobacter pylori, and imaging techniques have been debated widely and continue to be a matter for discussion. OBJECTIVE: This article details the value of various investigations in the setting of specific presentations of upper abdominal pain. DISCUSSION: Functional dyspepsia is a common cause of upper abdominal pain but the diagnosis should only be made after consideration of more serious pathology. The various organic causes of upper abdominal pain and the appropriate investigations are discussed. Early endoscopy is advisable in the presence of alarm symptoms and in patients over 55 years of age.",no,Helicobacter pylori|Campylobacter pylori subsp. pylori|Campylobacter pyloridis|Campylobacter pylori|Helicobacter nemestrinae,Functional dyspepsia
alabama,frailty,"BACKGROUND: Food access is associated with higher gastrointestinal (GI) cancer mortality; however, its association with frailty, which is a predictor of premature mortality among older adults with cancer, is less understood. METHODS: The authors included 880 adults aged 60 years and older who were recently diagnosed with GI cancers and were undergoing self-reported geriatric assessment at their first prechemotherapy visit to the University of Alabama at Birmingham oncology clinic. Food access was measured using the 2019 US Department of Agriculture Economic Research Service designation low-income, low-access (LILA), classifying census tracts based on income and/or access to food stores at various distances. The primary outcome was frailty on the CARE (Cancer and Aging Resilience Evaluation) Frailty Index, a composite of the proportion of impaired geriatric assessment measures. The authors examined the LILA-frailty association with modified Poisson regression accounting for census-tract clustering. RESULTS: The median patient age was 69 years, 58.1% were men, 22.5% were non-Hispanic Black, 29.2% had colorectal cancer, 28.0% had pancreatic cancer, 70.1% presented with stage III/IV disease, and 34.9% were frail. A higher proportion in LILA areas were non-Hispanic Black (44.1% vs. 10.8%; p < .001) and had less education (high school or less: 48.1% vs. 37.9%; p = .020). Adjusting for age, race and ethnicity, sex, cancer type and stage, and education, an LILA designation was associated with 58% greater odds of worsening frailty status (95% confidence interval, 1.18-2.12). An analysis of LILA subcategories revealed that associations were maintained across all LILA measures. CONCLUSIONS: Poor food access was associated with a greater risk of frailty among newly diagnosed older adults with GI cancers before they received systemic treatment. Intervening on local food access, particularly in LILA areas, may be a target for improving rates of frailty and promoting health equity in this population.",no,alabama,Frailty
strongyloides stercoralis,hookworm infection,"BACKGROUND: Soil-transmitted helminthiases (hookworms, Ascaris lumbricoides and Trichuris trichiura) are extremely prevalent in school-aged children living in poor sanitary conditions. Recent epidemiological data suggest that Strongyloides stercoralis is highly unreported. However, accurate data are essential for conducting interventions aimed at introducing control and elimination programmes. METHODS: We conducted a cross-sectional survey of 396 randomly selected school-aged children in Amhara region in rural area in north-western Ethiopia, to assess the prevalence of S. stercoralis and other intestinal helminths. We examined stools using three techniques: conventional stool concentration; and two S. stercoralis-specific methods, i.e. the Baermann technique and polymerase chain reaction. The diagnostic accuracy of these three methods was then compared. RESULTS: There was an overall prevalence of helminths of 77.5%, with distribution differing according to school setting. Soil-transmitted helminths were recorded in 69.2%. Prevalence of S. stercoralis and hookworm infection was 20.7 and 54.5%, respectively, and co-infection was detected in 16.3% of cases. Schistosoma mansoni had a prevalence of 15.7%. Prevalence of S. stercoralis was shown 3.5% by the conventional method, 12.1% by the Baermann method, and 13.4% by PCR, which thus proved to be the most sensitive. CONCLUSIONS: Our results suggest that S. stercoralis could be overlooked and neglected in Ethiopia, if studies of soil-transmitted helminths rely on conventional diagnostic techniques alone. A combination of molecular and stool microscopy techniques yields a significantly higher prevalence. In view of the fact that current control policies for triggering drug administration are based on parasite prevalence levels, a comprehensive diagnostic approach should instead be applied to ensure comprehensive control of helminth infections.",yes,Strongyloides stercoralis|Anguillula stercoralis,Hookworm infection
culex pipiens,japanese encephalitis,"We evaluated the molestus form of Culex pipiens pipiens (L.) (hereafter referred to as ""molestus"") captured near Tashkent, Uzbekistan, for their ability to transmit Japanese encephalitis (family Flaviviridae, genus Flavivirus, JEV) and West Nile (family Flaviviridae, genus Flavivirus, WNV) viruses under laboratory conditions. These molestus were highly competent laboratory vectors of WNV, with infection and dissemination rates of 96 and 81%, respectively. Approximately 75% of female molestus that fed after development of a disseminated infection transmitted virus by bite. Therefore, approximately 60% of those molestus taking a second bloodmeal between 16 and 25 d after an infectious bloodmeal would be expected to transmit WNV by bite. In contrast, these molestus were less efficient vectors of JEV, with infection and dissemination rates of 51 and 25%, respectively. In addition, only 33% of individuals with a disseminated infection transmitted JEV by bite, indicating a significant salivary gland barrier. Therefore, only approximately 8% of orally exposed individuals would be expected to transmit JEV by bite if they took a second bloodmeal 16-25 d later. These data indicate that the molestus form of Cx. p. pipiens should be considered a potentially important vector of WNV in Uzbekistan and may become involved in the transmission of JEV, should this virus be introduced into Uzbekistan.",yes,Culex pipiens|Culex agilis|Culex thoracicus|Culex osakaensis|Culex dipseticus|Culex consobrinus|Culex domesticus|Culex bicolor|Culex melanorhinus|Culex marginalis|Culex longefurcatus|Culex fasciatus|Culex haematophagus|common house mosquito|Culex unistriatus|Culex disjunctus|Culex torridus|Culex trifurcatus|Culex rufinus|Culex pallipes|Culex meridionalis|Culex azoriensis|Culex luteus|Culex comitatus|Culex autogenicus|Culex sternopunctatus|Culex doliorum|Culex phytophagus|Culex quasimodestus|Culex calcitrans|Culex erectus|Culex varioannulatus|Culex calloti|Culex rufus|Culex bifurcatus|northern house mosquito,Japanese encephalitis|japanese b encephalitis
bk virus,kaposi sarcoma,"Human polyomaviruses (PV), including JC and BK virus, have been reported to cause polyomavirus-associated nephropathy (PVAN), in renal transplant patients. PV infection has been demonstrated to be associated with malignancies in animals; however, the association between malignancy and viral infections in humans is not clear. We retrospectively reviewed our 864 (M:F=502:362) kidney transplant patients over the past 25 years. We identified PVAN in 6 patients (0.69%), including BK nephropathy (n=5) and JC nephropathy (n=1). Three patients (50%) improved after reducing the immunosuppression, but 3 (50%) progressed to graft loss despite this reduction. Malignancy occurred in 5 out of the 6 patients (83%; P<.0001 compared with patients without PVAN), including transitional cell carcinoma (n=2), renal cell carcinoma (n=1), squamous cell carcinoma of skin (n=1) and Kaposi sarcoma (n=1). We concluded that kidney transplant patients with PVAN are at a significantly greater risk to develop malignancy. Whether this is due to a direct effect of PV infection or the result of overimmunosuppression remains to be determined in a future study.",yes,Betapolyomavirus hominis|BK virus,"Kaposi's sarcoma|prostate kaposi's sarcoma|intestinal kaposi's sarcoma|kaposi's sarcoma of gastrointestinal sites|kaposi's sarcoma of heart|kaposi's sarcoma of the cns|cutaneous kaposi's sarcoma|kaposi's sarcoma of central nervous system|kaposi's sarcoma of lung|gallbladder kaposi's sarcoma|kaposi's sarcoma of soft tissues|kaposi's sarcoma of esophagus|kaposi sarcoma|gastric kaposi's sarcoma|central nervous system kaposi's sarcoma|kaposi's sarcoma-associated herpesvirus (kshv)|kaposi's sarcoma of the gallbladder|pulmonary kaposi's sarcoma|anal kaposi's sarcoma|palate kaposi's sarcoma|lymph node kaposi's sarcoma|kaposi's sarcoma of lymph nodes|kaposi's sarcoma, skin|kaposi's sarcoma, lung|esophageal kaposi's sarcoma|kaposi's sarcoma of penis|kaposi's sarcoma of conjunctiva|cardiac kaposi's sarcoma|african lymphadenopathic kaposi's sarcoma|conjunctival kaposi's sarcoma|penis kaposi's sarcoma|lymphadenopathic kaposi's sarcoma|kaposi's sarcoma of cornea|corneal kaposi's sarcoma|kaposi's sarcoma of skin|kaposi's sarcoma of soft tissue|kaposi's sarcoma of palate|kaposi's sarcoma of the prostate|soft tissue kaposi's sarcoma|kaposi's sarcoma of anus"
lamina,ischemic stroke,"BACKGROUND AND PURPOSE: Recanalization strategies mediated by intra-arterial fibrinolytic therapy in combination with mechanical clot disruption may be a more effective treatment approach than either therapy used alone. There are few preclinical animal models to evaluate these strategies. Here we report on a model to simultaneously evaluate both of these treatment approaches. METHODS: Allogeneic clot was injected through the 6 F guide catheter after creating >50% luminal stenosis of the common carotid arteries of New Zealand White rabbits. The stenosis was released after 1 h, allowing sufficient time for clot-vessel wall interaction. Occlusion was confirmed and each vessel was assigned to receive either balloon angioplasty alone, intra-arterial tissue plasminogen activator (tPA, Alteplase, Genentech, San Francisco, California, USA), tPA delivery through prototype balloon infusion wire (NIT Therapeutics, Pittsburgh, Pennsylvania, USA), partial stent deployment or partial stent deployment with locally delivered tPA. The negative control received no treatment. RESULTS: In vivo revascularization Thrombolysis in Cerebral Infarction (TICI) score revealed that the balloon infusion wire achieved a stable and higher revascularization score of TICI 2B, with a lower dose of tPA in comparison with other treatment strategies. All treatment strategies resulted in endothelial denudation and exposure of the internal elastic lamina. CONCLUSIONS: The proposed animal model permits reliable and consistent thromboembolic occlusion of the target vasculature and allows for an assessment of both pharmacologic and mechanical revascularization strategies for acute ischemic stroke.",no,lamina,Ischemic stroke
aedes albopictus,japanese encephalitis,"BACKGROUND: Dengue, chikungunya, malaria, filariasis and Japanese encephalitis are common mosquito-borne diseases endemic to Sri Lanka. Aedes aegypti and Aedes albopictus, the major vectors of dengue, were recently shown to undergo pre-imaginal development in brackish water bodies in the island. A limited survey of selected coastal localities of the Jaffna district in northern Sri Lanka was carried out to identify mosquito species undergoing pre-imaginal development in brackish and saline waters. The effect of salinity on the toxicity of Bacillus thuringiensis israelensis larvicide to Ae. aegypti larvae at salinity levels naturally tolerated by Ae. aegypti was examined. METHODS: Larvae collected at the selected sites along the Jaffna coast were identified and salinity of habitat water determined in the laboratory. The LC(5)(0) and LC(9)(0) of B. thuringiensis toxin, the active ingredient of a commercial formulation of the larvicide BACTIVEC(R), were determined with Ae. aegypti larvae. Bioassays were also carried out at salinities varying from 0 to 18 ppt to determine the toxicity of Bacillus thuringiensis to fresh and brackish water-derived larvae of Ae. aegypti. RESULTS: Larvae of four Anopheles, two Aedes, one Culex and one Lutzia species were collected from brackish and saline sites with salinity in the range 2 to 68 ppt. The LC(5)(0) and LC(9)(0) of B. thuringiensis toxin for the second instar larvae of Ae. aegypti in fresh water were 0.006 ppm and 0.013 ppm respectively, with corresponding values for brackish water populations of 0.008 and 0.012 ppm respectively. One hundred percent survival of second instar fresh water and brackish water-derived Ae. aegypti larvae was recorded at salinity up to 10 and 12 ppt and 100% mortality at 16 and 18 ppt, yielding an LC(9)(0) for salinity of 13.9 ppt and 15.4 ppt at 24 h post-treatment respectively for the two populations. Statistical analysis showed significantly reduced toxicity of B. thuringiensis to fresh and brackish water-derived Ae. aegypti larvae at high salinities. CONCLUSION: A variety of mosquito vectors of human diseases undergo pre-imaginal development in brackish or saline waters in coastal areas of the Jaffna district in northern Sri Lanka. Salinity has a small but significant negative impact on the toxicity of B. thuringiensis toxin to Ae. aegypti larvae at salinity levels where Ae. aegypti larvae are found in the environment. This has implications for the use of B. thuringiensis toxin as a larvicide in brackish waters.",no,Aedes albopictus|Stegomyia albopicta|Asian tiger mosquito|forest day mosquito,Japanese encephalitis|japanese b encephalitis
mosquito,japanese encephalitis,"The residential regions of Yunnan province, canton of Jing Hong, in China were surveyed for Japanese encephalitis virus (JEV) infection in mosquito and swine vectors to determine the frequency of JEV-carrying zoonotic vectors in 2009-2010. A total of 21,500 mosquitoes were collected and divided by species, and brain tissue was collected from 108 stillborn piglets. The infection rates for the different JEV species were 13.2% for Culex tritaeniorhynchus, 2.7% for Anopheles sinensis, 0.7% for Armigeres subalbatus, and 18.5% for stillborn piglets. The complete genomes of two JEV samples that were collected in different seasons and different regions, Yunnan 0901 and Yunnan 0902, were sequenced from a pool of Culex mosquitoes and stillborn piglets that had been collected randomly from several piggeries. Multiple sequence alignment with 24 fully-sequenced genes and 93 complete sequences of the JEV-encoded E gene revealed nucleotide homologies ranging from 97.2-99.6% and 94.5-99.7% in mosquitoes and piglets, respectively, and deduced amino acid homologies ranging from 97.4-98.1% and 96.0-98.2%, respectively. Phylogenetic analyses of the Yunnan 0901 and Yunnan 0902 strains' full-length genomes and E gene sequences indicated that these strains are most closely related to six Chinese SA14-derived viruses, and distantly related to the Australian FU, vellore P20778, and Japanese Ishikawa strains, and the previously isolated YN86-B8639 strains. The phylogenetic relationships based on the full-length genome were similar to those found for the E gene, indicating that phylogenetic analysis of the E gene will be a useful approach for genotyping of JEV, but not to better understand the potential changes in the biological characteristics and genetic relationship of JEV isolates.",yes,Anopheles cruzii|mosquito,Japanese encephalitis|japanese b encephalitis
streptococcus pneumoniae,invasive pneumococcal disease,"BACKGROUND: Pneumococcal diseases play a major role in human morbidity and mortality. We present the results of a Danish nationwide study of recurrent paediatric invasive pneumococcal disease (rIPD) focusing on the epidemiological, microbiological, and clinical aspects. METHODS: All laboratory-confirmed cases of IPD in children aged 0-15 y were identified from the Neisseria and Streptococcus Reference Laboratory, Statens Serum Institut, Denmark for the period 1980-2013. rIPD was defined as isolation of Streptococcus pneumoniae from any normally sterile site >/= 30 days after an initial positive culture. Clinical data were obtained for all children with rIPD. RESULTS: Of all children with IPD, 2.4% (59/2418) experienced at least 1 episode of rIPD, and an underlying condition was documented in 39 (66%). Immune deficiency due to transplantation (n = 9) was the most common disease; however, anatomic abnormalities (n = 8), complement C2 deficiency (n = 4), and congenital asplenia (n = 3) were all registered more than once. No underlying disease was detected in 18 children (31%). Based on the serotype distribution of S. pneumoniae isolates in rIPD among children aged 0-5 y (n = 41), 51%, 66%, and 78% of the cases would have been covered by the 7-, 10-, and 13-valent pneumococcal conjugate vaccines, respectively. CONCLUSIONS: Of children with an IPD episode, 2.4% experienced rIPD, and an underlying disease was documented in 66% of these children. Investigation of underlying conditions is essential in episodes of rIPD.",yes,Streptococcus pneumoniae|Diplococcus pneumoniae|Micrococcus pneumoniae,Invasive pneumococcal disease
